Sheet_No,Sheet_Name,Test_ID,Scenario_Name,Module_Tab,Key_Identifier,Input_Data_Details,Tax_or_Rate_Details,Quantity_or_Value,Priority,Expected_Result,Status
Sheet 12,Franchise_Transfer_Order,TC-FT-03,Generate Commercial Tax Invoice,Inventory - Franchise Transfer,INV-FT-2026-001,Supplier: 36AAACH7409R1ZZ | Recipient: 37AAAFV1234Q1Z5,Invoice No: INV-FT-2026-001 | Date: 2026-09-16,Taxable: 4000.00 | Total Invoice Value: 4200.00,P0,Tax invoice generated with B2B commercial supply details,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-04,Generate and Verify E-Invoice and IRN,Inventory - Franchise Transfer,IRN-FT-001,Supplier: 36AAACH7409R1ZZ | Recipient: 37AAAFV1234Q1Z5,IRN: 7b8c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c,Signed QR Code: VALID | Status: GENERATED,P0,IRN and signed QR code validated for B2B tax invoice,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-05,Enter Transport Details and Generate E-Way Bill,Inventory - Franchise Transfer,EWB-FT-3701,Transporter: Blue Dart Express | Vehicle: AP16XY9988 | Mode: Road,Linked IRN: 7b8c3d4e5f... | Distance: 280 km,EWB No: 231456789099 | Status: ACTIVE,P0,Inter-state E-Way Bill generated and linked to Tax Invoice IRN,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-06,Confirm Outward Dispatch from Warehouse,Inventory - Franchise Transfer,DSP-FT-001,Origin: Central Mega Warehouse | Destination: Vijayawada,Dispatch No: DSP-2026-FT01,Status: DISPATCHED | In Transit: TRUE,P0,Order status updated to DISPATCHED / IN_TRANSIT,ACTIVE
Sheet 12,Franchise_Transfer_Order,TC-FT-07,Franchise Goods Receipt and Stock Credit,Inventory - Franchise Transfer,REC-FT-001,Order: FTO-AP-001 | Store: Vijayawada Prime Franchise,Inward Status: COMPLETED,Received Qty: 100 | Damage: 0 | Shortage: 0,P0,Destination franchise acknowledges goods receipt and stock balance updated,ACTIVE
Sheet 13,Negative_Testing_Workflow,TC-NEG-01,Deliberate GSTIN State Code vs State Mismatch,Settings - Warehouse,GSTIN-MISMATCH-01,Telangana GSTIN (36...) paired with Andhra Pradesh State (PIN 520001),Validation Rule: GSTIN prefix 36 must equal State Telangana (36),Save Action: Attempted,P0,System should block save; if allowed flag as bug DEFECT-GSTIN-01,FAIL_VALIDATION
Sheet 13,Negative_Testing_Workflow,TC-NEG-02,Malformed GSTIN Checksum and Invalid State Code,Settings - Branch,GSTIN-INVALID-FORMAT,Invalid GSTIN: 99ZZZZZ0000Z9Z9 with Non-Existent State Code 99,Regex / Checksum Validation: 15-char alphanumeric GSTIN pattern,Save Action: Blocked,P0,Client/Server validation rejects invalid GSTIN syntax,FAIL_VALIDATION
Sheet 13,Negative_Testing_Workflow,TC-NEG-03,Intra-State Stock Transfer Cross-State Misconfiguration,Inventory - Stock Transfer,STO-CROSS-STATE-ERR,Source: Telangana (36) | Destination: Andhra Pradesh (37) marked as Intra-State,Intra-State Restriction: Delivery Challan only valid for same GSTIN/State (36 == 36),Transfer Movement: Blocked,P0,System rejects Delivery Challan for cross-state transfer without Tax Invoice,FAIL_VALIDATION
Sheet 13,Negative_Testing_Workflow,TC-NEG-04,Inter-State Transfer Wrong Recipient GSTIN E-Invoice Rejection,Inventory - Franchise Transfer,FTO-WRONG-GSTIN,Invalid Recipient GSTIN: 370000000000000 | Basic Amount: 4000.00,GSP / NIC Gateway Validation: Recipient GSTIN Active Check,IRN Generation: Rejected,P0,System does NOT show Successfully Generated on GSP validation failure,REJECTED_GSP
Sheet 13,Negative_Testing_Workflow,TC-NEG-05,E-Way Bill Generation Failure Handling,Inventory - Stock Transfer,EWB-GEN-FAIL,Corrupt Vehicle Number or Expired Transporter ID,NIC E-Way Bill Portal Validation: Vehicle Pattern TS-XX-XX,EWB Status: GENERATION_FAILED,P0,System suppresses false success and displays explicit GSP rejection reason,REJECTED_GSP
