Sheet_No,Sheet_Name,Test_ID,Scenario_Name,Module_Tab,Key_Identifier,Input_Data_Details,Tax_or_Rate_Details,Quantity_or_Value,Priority,Expected_Result,Status
Sheet 8,Stock_Entry_Inward,TC-SE-MAX,High-Volume Multi-Item Inward (10 Products),Inventory - Stock Entry,INV-2026-MAX,Vendor: Balaji | Invoice: INV-2026-MAX | Items: 10 Products,Barcodes: 890100000001..890100000012,Total Inv: 415 | Total Rec: 403 | Free: 17 | Ret: 12,P0,10 Distinct line items inwarded with returns and free schemes,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-01,Exempted Essential Goods (0%),Master Data - HSN/SAC,1006,Cereals & Rice (Unbranded) | 4-digit code,CGST: 0.0% | SGST: 0.0% | IGST: 0.0%,Total Tax: 0.0% | Cess: 0.0%,P1,Zero tax slab mapped to essential grains,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-02,Nil Rated Dairy / Eggs (0%),Master Data - HSN/SAC,04072100,Fresh Poultry Eggs | 8-digit tariff code,CGST: 0.0% | SGST: 0.0% | IGST: 0.0%,Total Tax: 0.0% | Cess: 0.0%,P1,Nil rated 8-digit tariff item verified,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-03,Low Rate Edible Groceries (5%),Master Data - HSN/SAC,09102010,Saffron & Retail Spices | 8-digit tariff code,CGST: 2.5% | SGST: 2.5% | IGST: 5.0%,Total Tax: 5.0% | Cess: 0.0%,P0,5% GST slab correctly splits CGST/SGST,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-04,Standard Rate 12% Tableware,Master Data - HSN/SAC,69111011,Ceramic & Opalware Tableware | 8-digit code,CGST: 6.0% | SGST: 6.0% | IGST: 12.0%,Total Tax: 12.0% | Cess: 0.0%,P1,12% GST slab applied to household goods,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-05,Standard Rate 18% Confectionery,Master Data - HSN/SAC,18063200,Chocolates with Cocoa | 8-digit code,CGST: 9.0% | SGST: 9.0% | IGST: 18.0%,Total Tax: 18.0% | Cess: 0.0%,P0,18% GST slab mapped to confectionery SKUs,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-06,Luxury / Aerated Drinks (28% + Cess),Master Data - HSN/SAC,22011010,Aerated Mineral Water / Soda | 8-digit code,CGST: 14.0% | SGST: 14.0% | IGST: 28.0%,Total Tax: 28.0% | Cess: 12.0%,P0,Composite 28% GST + 12% Compensation Cess,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-07,Services Accounting Code (SAC),Master Data - HSN/SAC,998311,Freight & Logistics Services | 6-digit SAC,CGST: 9.0% | SGST: 9.0% | IGST: 18.0%,Total Tax: 18.0% | Cess: 0.0%,P1,Services 6-digit code supported under HSN/SAC,ACTIVE
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-08,Negative - Alphanumeric HSN Code,Master Data - HSN/SAC,HSN12345,Invalid code containing letters,N/A,Numeric Only Check,P1,Validation rejects non-numeric input,INVALID
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-09,Negative - Excess Digits (>8),Master Data - HSN/SAC,1006302011,Invalid 10-digit code,N/A,Max Length Check,P1,Validation restricts HSN length to max 8 digits,INVALID
Sheet 9,HSN_SAC_Tax_Slabs,TC-HSN-10,Negative - Blank Code Validation,Master Data - HSN/SAC,[Empty],Empty HSN code field submission,N/A,Required Field Check,P1,Validation blocks submission with empty HSN,INVALID

Sheet 10,Purchase_Order,TC-PO-01,Create Standard Purchase Order,PO,PO-2026-001,Vendor: Balaji | SKU: Rice | Qty: 50,Tax: 0%,Total: 2000.00,P0,PO Generated,ACTIVE
